"op","dms_update_ts","id","createdat","linkid","prioritytype","incidenttype","expirytime","expireusingexcessdelay","isactive","parentincidentid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"I","2022-01-03 12:57:42.600000","236991","2022-01-03 23:27:30.0000000 +10:30","1654","5","0","",,,"0","dbo","BeaconIncidents","23","2022","01","03"
"I","2022-01-31 01:13:23.740000","238695","2022-01-31 11:43:00.0000000 +10:30","1707","5","0","",,,"0","dbo","BeaconIncidents","11","2022","01","31"
"U","2022-01-31 01:13:32.347000","238695","2022-01-31 11:43:00.0000000 +10:30","1707","5","3","",,,"0","dbo","BeaconIncidents","11","2022","01","31"
"U","2021-12-31 19:14:21.847000","236912","2022-01-01 05:38:00.0000000 +10:30","3487","5","0","",,,"236913","dbo","BeaconIncidents","05","2022","01","01"
"I","2021-12-31 19:14:21.847000","236913","2022-01-01 05:44:00.0000000 +10:30","3484","5","0","",,,"0","dbo","BeaconIncidents","05","2022","01","01"
"I","2022-01-04 14:46:42.533000","237024","2022-01-05 01:16:30.0000000 +10:30","1465","5","0","",,,"0","dbo","BeaconIncidents","01","2022","01","05"
"D","2022-01-13 12:00:26.082146","237461","2022-01-13 20:59:00.0000000 +10:30","2064","5","3","",,,"0","dbo","BeaconIncidents","22","2022","01","13"
"I","2022-01-08 03:14:19.610000","237177","2022-01-08 13:44:00.0000000 +10:30","1485","5","0","",,,"0","dbo","BeaconIncidents","13","2022","01","08"
"I","2022-01-08 11:51:22.547000","237198","2022-01-08 22:21:00.0000000 +10:30","3786","5","0","",,,"0","dbo","BeaconIncidents","22","2022","01","08"
"D","2022-01-30 22:44:42.380000","238680","2022-01-31 08:13:30.0000000 +10:30","3433","5","3","",,,"0","dbo","BeaconIncidents","09","2022","01","31"
"I","2022-01-30 22:45:26.127000","238690","2022-01-31 09:15:01.0000000 +10:30","488","5","0","",,,"0","dbo","BeaconIncidents","09","2022","01","31"
"I","2022-01-26 10:06:42.410000","238407","2022-01-26 20:36:30.0000000 +10:30","2199","5","0","",,,"0","dbo","BeaconIncidents","20","2022","01","26"
"D","2022-01-17 05:39:42.800000","237666","2022-01-17 15:51:00.0000000 +10:30","459","5","3","",,,"0","dbo","BeaconIncidents","16","2022","01","17"
"I","2022-01-07 05:05:25.620000","237155","2022-01-07 15:35:00.0000000 +10:30","1783","5","0","",,,"0","dbo","BeaconIncidents","15","2022","01","07"
"D","2022-01-10 00:17:24.597000","237240","2022-01-10 10:22:30.0000000 +10:30","1971","5","1","",,,"0","dbo","BeaconIncidents","10","2022","01","10"
"I","2022-01-05 02:53:17.217000","237046","2022-01-05 13:23:01.0000000 +10:30","3582","5","0","",,,"0","dbo","BeaconIncidents","13","2022","01","05"
"U","2022-01-05 02:53:42.030000","237046","2022-01-05 13:23:01.0000000 +10:30","3582","5","3","",,,"0","dbo","BeaconIncidents","13","2022","01","05"
"I","2022-01-05 07:44:14.920000","237050","2022-01-05 18:12:30.0000000 +10:30","3705","5","0","",,,"0","dbo","BeaconIncidents","18","2022","01","05"
