"op","instance_id","id","name","activity_id","entry_status_username","startenddescription","enabled","stdevadjustmultiplier","schema_name","status_date","ingest_hour","ingest_year","ingest_month","ingest_day"
"I","2021-07-06 01:49:38.772031","214","554-Port Road (Inbound) - Queen Street to City","1","Port Road (Inbound)","Queen Street to West Terrace (City)","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772038","215","553-South Rd / Salisbury Hwy - Torrens Road to Salisbury","1","South Rd / Salisbury Hwy","Torrens Road to Salisbury (Park Tce)","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772045","216","553-South Rd / Pt Wakefield Rd - Torrens Road to Northern Exy","1","South Rd / Pt Wakefield Rd","Torrens Rd to Northern Exy","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772051","217","Murray Bridge to Mt Barker","1","South Eastern Freeway","Murray Bridge to Mt Barker","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772058","218","Murray Bridge to Crafers","1","South Eastern Freeway","Murray Bridge to Crafers","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772064","219","Murray Bridge to the Old Toll Gate","1","South Eastern Freeway","Murray Bridge to Old Toll Gate","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772070","220","Two Wells to Northern Expressway","1","Port Wakefield Road","Two Wells to Northern Expressway","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772076","221","Two Wells to Salisbury Highway","1","Port Wakefield Road","Two Wells to Salisbury Highway","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772082","222","Two Wells to Gepps Cross","1","Port Wakefield Road","Two Wells to Gepps Cross","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772089","223","Mount Barker to Crafers","1","South Eastern Freeway","Mount Barker to Crafers","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772094","224","Mount Barker to Old Toll Gate","1","South Eastern Freeway","Mount Barker to Old Toll Gate","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772101","225","Mount Barker to City","1","South Eastern Freeway","Mount Barker to City","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772107","226","Ashford to SExy via South Rd","1","South Road","Anzac Highway to Southern Expressway","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772113","227","Ashford to SExy via Marion Road","1","Marion Road","Anzac Highway to Southern Expressway","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772119","228","Main North Rd / Black Top Rd to City via Main North Rd","1","Main North Road","Black Top Road to Robe Terrace","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772126","229","Main North Rd / Black Top Rd to City via Bridge Road","1","Bridge Road","Black Top Road to Melbourne Street","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772133","230","Fullarton Road - Wattle Street to Blackwood","1","Fullarton Road","Wattle Street to Blackwood","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772139","231","Fullarton Road - Wattle Street to Goodwood Rd","1","Fullarton Road","Wattle Street to Goodwood / Springbank","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772146","232","Fullarton Rd - Wattle Street to SExy","1","Fullarton Road","Wattle Street to Southern Expressway","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772152","233","Main Rd Glenalta to Mitcham Square","1","Main Road / Old Belair Road","Glenalta Rail Crossing to Belair / Grange Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
